Trees,Depth,Average Galaxy Purity,Average Galaxy Completeness,Average Star Purity,Average Star Completeness,Average Accuracy,Average Time
90,6,0.931492636,0.994506413,0.931298856,0.504300142,0.931475849,31.12720943
100,6,0.932681769,0.993577365,0.920436385,0.508818369,0.931818574,32.99930477
10,7,0.943074696,0.990602616,0.903396014,0.593952134,0.939685117,14.99951577
20,7,0.938026132,0.991760277,0.908958656,0.556487023,0.935727557,15.18684974
30,7,0.938237289,0.99219988,0.914436964,0.560282378,0.936337259,18.18800521
40,7,0.938750542,0.993630888,0.92813648,0.559550933,0.937917787,23.56633625
50,7,0.93842268,0.993057267,0.919910227,0.550053579,0.937016472,21.7994698
60,7,0.938556162,0.993160055,0.924288714,0.561716473,0.937424423,23.75587325
70,7,0.938828333,0.993359574,0.925848627,0.562085915,0.937823038,26.11364021
80,7,0.938461618,0.993184287,0.9229054,0.556158486,0.937262433,28.60428505
90,7,0.938145201,0.992578859,0.918648379,0.560994191,0.936589944,38.15325127
100,7,0.937904098,0.993250372,0.923510841,0.553123518,0.936782847,41.29347424
10,8,0.949747729,0.99146923,0.918544792,0.646545863,0.946883975,15.95171461
20,8,0.946632579,0.992107633,0.921953307,0.624537833,0.94444845,16.59851799
30,8,0.948376999,0.99244989,0.926160426,0.636823647,0.946397598,24.39244008
40,8,0.944448466,0.992788759,0.925921332,0.606619426,0.942871638,25.88860264
50,8,0.948081859,0.992591429,0.926705094,0.632627405,0.946194205,26.05900755
60,8,0.94409619,0.993124212,0.929665427,0.606300081,0.94286028,28.681916
70,8,0.948637314,0.992284408,0.924461834,0.636732969,0.94647644,32.034796
80,8,0.946266868,0.992545126,0.923121605,0.613596765,0.944297613,36.80907312
90,8,0.947900791,0.992924992,0.929605643,0.630673255,0.946289509,47.16802955
100,8,0.945530625,0.993020871,0.92998665,0.618672637,0.944184761,50.74182119
10,9,0.960438828,0.989452597,0.910454714,0.723725447,0.955285634,17.27198696
20,9,0.958790736,0.991526457,0.92516058,0.710582579,0.955460418,18.89908266
30,9,0.957091531,0.992143874,0.929563706,0.699400562,0.954407697,25.45980453
40,9,0.956114561,0.9919604,0.927031135,0.691792474,0.953319966,28.53058658
